image_files,Picturio,AADB
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\006_2014_kari-[f_7,0]-[1_40 s]-[50,0 mm]-[photo-levi]_dsc_9252_131066507250900435.jpg",0.3915071487426758,0.433046
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\006_2015-tavasz-f_14,0-1_200 s-50,0 mm-20150423dsc_1896_131067552115190627.jpg",0.5381080508232117,0.628299
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0060_131067354567276340.jpg,0.5504768490791321,0.593243
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0062_131074368879780624.jpg,0.6226539015769958,0.463287
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0065_131067354663384256.jpg,0.5088444948196411,0.46049
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0067_131067354729167431.jpg,0.6468532681465149,0.510442
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0068_131067354761820968.jpg,0.6268699765205383,0.603437
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0069_131067354792912145.jpg,0.5173335075378418,0.683922
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\007_131067354831815130.jpg,0.44456425309181213,0.606539
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\007_2014_kari-[f_7,0]-[1_40 s]-[52,0 mm]-[photo-levi]_dsc_9253_131066507269181550.jpg",0.30841898918151855,0.545941
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\007_2015-tavasz-f_11,0-1_200 s-50,0 mm-20150423dsc_1897_131067552229698927.jpg",0.5218929052352905,0.665212
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\007_photoexpo-[-[f_5,0]-[1_125 s]-[55,0 mm]-_mg_0921_131064118845271658.jpg",0.2592352628707886,0.349678
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0070_131067354868530825.jpg,0.5895419120788574,0.551824
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0072_131064101948093201.jpg,0.5628271698951721,0.528347
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0073_131064101960288635.jpg,0.500106692314148,0.650514
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0075_131064077878331001.jpg,0.6049497127532959,0.65022
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0077_131067552259990115.jpg,0.43477386236190796,0.578064
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\008_131067354951447494.jpg,0.3308804929256439,0.621051
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\008(1)_131067354971760057.jpg,0.6007034182548523,0.515636
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\008_2014_kari-[f_7,0]-[1_40 s]-[48,0 mm]-[photo-levi]_dsc_9254_131066507296330103.jpg",0.30029383301734924,0.539043
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\008_2015-tavasz-f_2,0-1_3200 s-50,0 mm-20150423dsc_1898_131067552413452427.jpg",0.3623782694339752,0.625227
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0082_131067552438434329.jpg,0.5443132519721985,0.619131
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0084_131067552657913735.jpg,0.45488426089286804,0.588993
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0087_131074382902300127.jpg,0.37210994958877563,0.591924
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\008adb19-9e9f-4689-9e61-6276f10ffc02_131069336412604096.jpg,0.566348135471344,0.475493
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\009_131067355050808037.jpg,0.5674965381622314,0.596318
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\009(1)_131067355060026389.jpg,0.6135315895080566,0.486702
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\009_2015-tavasz-f_3,0-1_1250 s-50,0 mm-20150423dsc_1899_131067552821794126.jpg",0.5416204929351807,0.633371
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0090_131067552831481568.jpg,0.45523324608802795,0.525858
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0091_131067355141543185.jpg,0.6157592535018921,0.667546
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0093_131067355147926092.jpg,0.5946674942970276,0.571744
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\00vmk8-204465584_131067552914549506.jpg,0.2643710672855377,0.438274
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\010_131067355236976007.jpg,0.5205221176147461,0.559517
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\010(1)_131067355284944762.jpg,0.5531979203224182,0.4738
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\010_2014_kari-[f_7,0]-[1_40 s]-[55,0 mm]-[photo-levi]_dsc_9256_131072791550917265.jpg",0.24368450045585632,0.420605
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\010_2015-tavasz-f_3,0-1_2000 s-50,0 mm-20150423dsc_1900_131067552933142943.jpg",0.366828590631485,0.717821
